                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4796,                 1.4626,                 1.3316,                0.79239,                0.79743,                0.82461,                0.58383,                0.98676,                  1.094,                 1.0848,             0.00055022,             0.00055022,             0.00055022
                      2,                 1.1252,                 0.9269,                 1.1251,                0.79631,                0.81236,                0.84687,                0.59879,                0.97757,                0.89393,                 1.0874,               0.001084,               0.001084,               0.001084
                      3,                 1.0786,                0.89904,                 1.1158,                0.70502,                0.77542,                0.74876,                0.53008,                 1.0537,                0.90019,                 1.1063,              0.0015958,              0.0015958,              0.0015958
                      4,                 1.0759,                 0.8679,                 1.1132,                0.76068,                0.84785,                 0.8197,                0.59422,                 0.9573,                0.86164,                 1.0706,               0.001568,               0.001568,               0.001568
                      5,                 1.0128,                 0.8368,                 1.0976,                0.80183,                0.83755,                0.85801,                0.63696,                0.89812,                0.78436,                  1.057,               0.001568,               0.001568,               0.001568
                      6,                0.99372,                0.78946,                 1.0782,                 0.8053,                0.87445,                0.87273,                0.66477,                0.85317,                0.73803,                 1.0377,               0.001535,               0.001535,               0.001535
                      7,                0.95055,                0.75089,                 1.0565,                0.82625,                0.87574,                0.88136,                0.66711,                0.85246,                0.71208,                 1.0278,               0.001502,               0.001502,               0.001502
                      8,                0.95178,                0.74158,                 1.0534,                0.84951,                0.87764,                0.90091,                0.67863,                0.84666,                0.67872,                 1.0307,               0.001469,               0.001469,               0.001469
                      9,                0.93364,                0.73784,                  1.044,                0.82093,                0.85446,                0.87132,                0.66148,                0.85626,                0.70742,                  1.027,               0.001436,               0.001436,               0.001436
                     10,                0.92243,                0.72093,                 1.0421,                0.86096,                0.87045,                0.90356,                0.68724,                0.84642,                0.74028,                 1.0289,              0.0014029,              0.0014029,              0.0014029
                     11,                0.89297,                0.69685,                 1.0292,                0.83083,                0.88328,                0.89748,                0.70058,                0.78966,                0.65808,                 1.0032,              0.0013699,              0.0013699,              0.0013699
                     12,                0.89686,                0.70039,                 1.0295,                0.84077,                0.88328,                0.90653,                0.69804,                0.81026,                0.69079,                 1.0024,              0.0013369,              0.0013369,              0.0013369
                     13,                0.87844,                0.70686,                 1.0209,                0.84426,                0.88704,                0.89686,                0.69915,                0.78658,                0.65425,                0.99393,              0.0013039,              0.0013039,              0.0013039
                     14,                0.87189,                0.70509,                 1.0162,                0.82705,                0.89985,                0.90446,                0.70806,                0.77358,                0.65432,                0.98749,              0.0012709,              0.0012709,              0.0012709
                     15,                0.87081,                0.67386,                 1.0192,                0.86052,                  0.891,                 0.9039,                0.69362,                0.81388,                0.62741,                 0.9961,              0.0012379,              0.0012379,              0.0012379
                     16,                 0.8686,                0.67266,                 1.0092,                0.85635,                0.89161,                0.91169,                0.72328,                0.75334,                0.65171,                0.97854,              0.0012049,              0.0012049,              0.0012049
                     17,                0.83584,                0.64999,                 1.0003,                 0.8606,                0.88743,                0.90483,                0.70498,                0.77999,                0.63101,                0.97829,              0.0011719,              0.0011719,              0.0011719
                     18,                0.82405,                0.64875,                0.99549,                0.87358,                0.89885,                0.91803,                0.72084,                0.75817,                0.62118,                0.96264,              0.0011389,              0.0011389,              0.0011389
                     19,                0.81882,                0.65126,                0.99368,                0.87599,                0.89887,                 0.9249,                0.74192,                 0.7236,                0.62757,                  0.966,              0.0011059,              0.0011059,              0.0011059
                     20,                0.83771,                0.67518,                0.99906,                0.85346,                0.89697,                0.91254,                0.71535,                0.76193,                0.63951,                0.96947,              0.0010729,              0.0010729,              0.0010729
                     21,                0.83255,                0.65517,                 0.9952,                 0.8859,                0.90136,                0.92638,                0.73957,                0.72978,                0.61012,                0.96384,              0.0010399,              0.0010399,              0.0010399
                     22,                0.81577,                0.65234,                 0.9919,                0.87911,                  0.891,                0.92687,                0.74678,                0.70372,                0.59565,                0.95408,              0.0010069,              0.0010069,              0.0010069
                     23,                 0.7974,                  0.626,                0.98742,                0.85361,                0.91115,                0.90723,                0.73146,                0.70435,                0.60269,                0.95157,             0.00097386,             0.00097386,             0.00097386
                     24,                0.77548,                0.60594,                0.97602,                0.87283,                 0.9054,                0.92975,                0.75256,                0.69695,                 0.5875,                0.94957,             0.00094085,             0.00094085,             0.00094085
                     25,                0.78771,                0.63282,                0.98136,                0.85643,                0.90516,                0.91542,                0.73954,                 0.7058,                0.60602,                0.94499,             0.00090785,             0.00090785,             0.00090785
                     26,                0.76324,                0.62512,                0.97467,                 0.8797,                0.89996,                0.92586,                0.75555,                0.69308,                0.57655,                0.93977,             0.00087484,             0.00087484,             0.00087484
                     27,                0.78329,                 0.5914,                0.97255,                0.88087,                0.90755,                0.93443,                0.75496,                 0.7024,                0.58258,                0.94668,             0.00084184,             0.00084184,             0.00084184
                     28,                0.75902,                0.60753,                0.97135,                0.85772,                0.91412,                0.91951,                0.75709,                0.67434,                0.58101,                0.93521,             0.00080883,             0.00080883,             0.00080883
                     29,                0.76323,                0.59135,                0.97207,                0.87289,                0.90468,                0.92833,                0.75908,                0.67117,                0.57821,                0.92989,             0.00077582,             0.00077582,             0.00077582
                     30,                0.75338,                  0.588,                0.96183,                0.87858,                0.89905,                0.93165,                0.76822,                 0.6572,                0.58406,                0.92898,             0.00074282,             0.00074282,             0.00074282
                     31,                0.75787,                0.58935,                0.97218,                0.88087,                0.91118,                0.92975,                0.76671,                0.66768,                0.57499,                 0.9343,             0.00070981,             0.00070981,             0.00070981
                     32,                0.75345,                0.57622,                0.96708,                0.86716,                0.91378,                0.92157,                0.75555,                0.66801,                0.57982,                0.94764,              0.0006768,              0.0006768,              0.0006768
                     33,                0.76726,                0.60619,                0.96583,                0.86263,                0.91144,                0.92037,                 0.7602,                0.66211,                0.56383,                0.93084,              0.0006438,              0.0006438,              0.0006438
                     34,                0.76622,                0.58978,                0.96871,                0.88408,                0.91113,                0.92974,                0.77315,                0.64232,                0.55729,                0.92595,             0.00061079,             0.00061079,             0.00061079
                     35,                0.73544,                 0.5689,                0.95384,                0.87293,                0.91156,                0.92644,                 0.7698,                0.65359,                 0.5589,                0.92949,             0.00057778,             0.00057778,             0.00057778
                     36,                 0.7305,                0.56188,                0.95343,                 0.8745,                0.91401,                0.93174,                0.77676,                0.63878,                0.55941,                0.92332,             0.00054478,             0.00054478,             0.00054478
                     37,                0.72048,                0.55732,                 0.9497,                0.87745,                0.92049,                0.93752,                0.78148,                0.63872,                0.54405,                0.91978,             0.00051177,             0.00051177,             0.00051177
                     38,                0.71041,                0.54715,                0.94995,                0.87008,                0.91909,                0.93046,                0.77726,                0.63555,                0.55954,                0.92073,             0.00047876,             0.00047876,             0.00047876
