                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6029,                 1.7094,                 1.4114,                 0.6385,                 0.7864,                0.78578,                0.51319,                 1.1578,                 2.3594,                 1.1011,             0.00041675,             0.00041675,             0.00041675
                      2,                0.98712,                0.83377,                 1.0674,                0.71754,                0.81699,                0.82565,                0.55968,                 1.0664,                 1.2833,                 1.0822,             0.00084175,             0.00084175,             0.00084175
                      3,                0.95551,                0.75153,                 1.0553,                0.69158,                0.86073,                0.81606,                 0.5761,                0.97725,                 1.5906,                  1.057,              0.0012582,              0.0012582,              0.0012582
                      4,                0.93821,                0.73873,                 1.0481,                0.75496,                0.85428,                0.84017,                0.60482,                0.97522,                 1.0183,                 1.1195,              0.0016175,              0.0016175,              0.0016175
                      5,                0.91173,                0.71619,                 1.0413,                0.75283,                0.81984,                0.81865,                0.59752,                0.94175,                 1.2501,                 1.0625,              0.0016175,              0.0016175,              0.0016175
                      6,                0.92761,                0.72602,                 1.0351,                 0.7936,                0.87678,                0.88536,                0.66447,                0.89189,                 1.2434,                 1.0217,               0.001601,               0.001601,               0.001601
                      7,                0.84298,                0.67336,                 1.0159,                0.84954,                0.88017,                0.90454,                0.68574,                0.85631,                0.75706,                 1.0026,              0.0015845,              0.0015845,              0.0015845
                      8,                0.85974,                0.66592,                 1.0076,                0.86332,                0.90579,                0.90968,                 0.6669,                0.85826,                0.67454,                 1.0079,               0.001568,               0.001568,               0.001568
                      9,                0.82344,                0.64214,                0.99233,                0.82849,                0.89209,                0.88362,                0.68633,                 0.8306,                0.64518,                0.98947,              0.0015515,              0.0015515,              0.0015515
                     10,                0.83059,                0.63474,                0.99531,                0.85787,                0.90225,                0.90685,                0.68674,                0.84713,                0.62413,                0.96183,               0.001535,               0.001535,               0.001535
                     11,                0.81306,                0.62272,                0.98316,                0.88489,                0.91485,                0.92533,                0.74778,                0.71115,                0.60485,                0.94103,              0.0015185,              0.0015185,              0.0015185
                     12,                0.77494,                 0.5917,                0.97234,                0.88538,                0.90799,                0.92418,                0.73868,                0.76441,                 0.5975,                0.95399,               0.001502,               0.001502,               0.001502
                     13,                0.74411,                0.57759,                0.95999,                 0.8796,                0.89132,                0.92159,                0.74254,                0.73213,                 0.6002,                0.94638,              0.0014855,              0.0014855,              0.0014855
                     14,                0.75145,                0.59035,                0.96615,                0.86621,                0.92535,                0.91699,                0.75212,                 0.6969,                0.55665,                0.93344,               0.001469,               0.001469,               0.001469
                     15,                0.75996,                0.59074,                0.97225,                0.86356,                0.91093,                0.91248,                0.72736,                0.76116,                0.60818,                0.93599,              0.0014525,              0.0014525,              0.0014525
                     16,                 0.7462,                0.58334,                 0.9606,                0.88622,                0.90267,                0.91952,                0.73495,                0.74534,                0.58671,                0.93208,               0.001436,               0.001436,               0.001436
                     17,                0.75102,                0.58301,                0.95729,                0.87204,                 0.9151,                0.91888,                0.73405,                 0.7636,                0.57343,                0.93263,              0.0014195,              0.0014195,              0.0014195
                     18,                0.73285,                0.56552,                0.94832,                0.86843,                0.92821,                0.92262,                0.74463,                0.69896,                0.58533,                0.91895,              0.0014029,              0.0014029,              0.0014029
                     19,                0.71762,                0.55881,                0.95253,                0.88684,                0.91382,                0.93186,                0.76721,                0.67449,                0.57397,                 0.9164,              0.0013864,              0.0013864,              0.0013864
                     20,                0.71371,                0.56365,                 0.9468,                0.90351,                0.91618,                0.93756,                0.77113,                0.67652,                0.56342,                0.91829,              0.0013699,              0.0013699,              0.0013699
                     21,                0.70707,                0.54537,                0.94371,                0.89004,                0.92228,                0.93501,                0.76663,                0.66052,                0.55254,                0.91518,              0.0013534,              0.0013534,              0.0013534
                     22,                0.68788,                0.54199,                0.93872,                0.89307,                 0.9076,                0.92608,                 0.7536,                0.71608,                0.55375,                0.92607,              0.0013369,              0.0013369,              0.0013369
                     23,                0.70076,                0.55233,                0.94603,                0.89723,                0.91603,                0.93985,                0.78859,                0.64973,                0.53417,                0.90622,              0.0013204,              0.0013204,              0.0013204
                     24,                0.70822,                0.54239,                0.93641,                0.88185,                 0.9002,                0.92788,                0.72181,                 0.8058,                0.58045,                0.92891,              0.0013039,              0.0013039,              0.0013039
                     25,                0.71446,                0.54152,                0.93731,                0.88926,                0.91086,                0.93683,                0.76857,                0.68186,                0.54604,                0.93593,              0.0012874,              0.0012874,              0.0012874
                     26,                0.69475,                0.54636,                0.93519,                0.87245,                0.91311,                0.90373,                0.76009,                0.63662,                0.57514,                 0.9061,              0.0012709,              0.0012709,              0.0012709
                     27,                0.66968,                0.52786,                0.93196,                0.90993,                0.92338,                0.94758,                0.79586,                0.64676,                0.51722,                0.90175,              0.0012544,              0.0012544,              0.0012544
                     28,                0.68141,                0.52973,                0.93093,                0.90564,                 0.9237,                 0.9458,                 0.7951,                0.63456,                0.53535,                0.89961,              0.0012379,              0.0012379,              0.0012379
                     29,                0.66928,                0.52522,                0.92459,                0.90269,                0.92386,                0.94351,                0.78735,                0.65818,                0.54608,                0.90384,              0.0012214,              0.0012214,              0.0012214
                     30,                0.67761,                0.52925,                 0.9317,                0.89739,                0.92607,                0.93938,                0.79041,                0.62815,                0.51417,                 0.9029,              0.0012049,              0.0012049,              0.0012049
                     31,                0.66466,                0.51468,                0.92588,                0.88844,                0.92223,                0.93501,                0.78246,                0.64635,                0.54002,                 0.9071,              0.0011884,              0.0011884,              0.0011884
                     32,                0.67132,                 0.5015,                0.92202,                0.90038,                0.92232,                0.94184,                0.78466,                 0.6553,                0.50981,                0.90819,              0.0011719,              0.0011719,              0.0011719
                     33,                0.66789,                0.50864,                0.92492,                0.90988,                0.91872,                0.94576,                0.78503,                0.65846,                0.51308,                0.90034,              0.0011554,              0.0011554,              0.0011554
                     34,                0.64135,                0.50387,                0.91698,                0.90686,                0.90217,                0.93957,                0.78352,                0.65222,                0.52106,                0.89397,              0.0011389,              0.0011389,              0.0011389
                     35,                0.65843,                0.51762,                0.92204,                0.90997,                0.91211,                0.94075,                 0.7826,                0.64997,                0.51119,                0.90334,              0.0011224,              0.0011224,              0.0011224
                     36,                0.65392,                0.50671,                0.92432,                 0.9074,                0.92166,                0.94675,                0.79015,                0.64442,                0.51211,                0.89445,              0.0011059,              0.0011059,              0.0011059
                     37,                0.65392,                0.50308,                0.91701,                0.89695,                0.92215,                0.93169,                 0.7891,                0.62287,                0.52051,                0.90477,              0.0010894,              0.0010894,              0.0010894
                     38,                0.63499,                0.49524,                0.91559,                0.91373,                0.91486,                0.95091,                0.80092,                 0.6246,                0.51336,                0.89016,              0.0010729,              0.0010729,              0.0010729
