                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6029,                 1.7094,                 1.4114,                 0.6385,                 0.7864,                0.78578,                0.51319,                 1.1578,                 2.3594,                 1.1011,             0.00041675,             0.00041675,             0.00041675
                      2,                0.98795,                0.83478,                 1.0684,                0.67718,                0.82908,                0.79539,                0.54796,                 1.0687,                  1.396,                 1.0943,             0.00084456,             0.00084456,             0.00084456
                      3,                0.95886,                 0.7513,                 1.0564,                0.70159,                 0.8691,                0.83776,                0.59506,                0.97156,                 1.3866,                 1.0518,              0.0012666,              0.0012666,              0.0012666
                      4,                 0.9426,                0.73944,                 1.0509,                0.77897,                0.84386,                0.84045,                0.61364,                0.95676,                 0.9377,                 1.0697,               0.001634,               0.001634,               0.001634
                      5,                0.90514,                0.71566,                  1.039,                0.74263,                0.81238,                0.81471,                0.58862,                0.98207,                 1.1098,                 1.0796,               0.001634,               0.001634,               0.001634
                      6,                0.92784,                0.71853,                  1.032,                0.77836,                 0.8709,                0.86097,                0.63149,                0.90158,                 1.1674,                 1.0282,               0.001623,               0.001623,               0.001623
                      7,                0.85859,                0.67291,                 1.0201,                0.83172,                0.87326,                 0.8994,                0.68041,                0.87125,                0.79573,                  1.011,               0.001612,               0.001612,               0.001612
                      8,                 0.8702,                0.67138,                 1.0133,                0.84916,                0.88759,                0.89757,                0.66194,                0.92812,                0.72944,                 1.0388,               0.001601,               0.001601,               0.001601
                      9,                0.83249,                0.65744,                 1.0009,                0.84575,                0.86366,                0.88912,                0.69721,                0.78572,                0.66203,                0.97831,                0.00159,                0.00159,                0.00159
                     10,                0.81862,                0.64343,                0.99154,                0.86216,                  0.892,                0.89852,                0.68828,                0.84522,                0.64127,                 0.9717,               0.001579,               0.001579,               0.001579
                     11,                0.80629,                0.62732,                0.98377,                0.88354,                0.90992,                0.92358,                0.73387,                0.74431,                0.64809,                0.95615,               0.001568,               0.001568,               0.001568
                     12,                0.79586,                0.61105,                0.97752,                0.88805,                0.90538,                0.92508,                0.73328,                0.77558,                0.65177,                0.95813,               0.001557,               0.001557,               0.001557
                     13,                 0.7532,                 0.5872,                 0.9616,                0.88907,                0.89342,                0.92658,                0.74988,                0.72475,                0.57678,                0.94457,               0.001546,               0.001546,               0.001546
                     14,                0.75595,                0.59593,                0.96804,                 0.8741,                0.90419,                0.91107,                0.73687,                0.71647,                  0.592,                 0.9424,               0.001535,               0.001535,               0.001535
                     15,                0.76202,                0.58653,                0.97124,                0.87327,                0.91002,                0.92694,                0.74358,                0.73231,                 0.5799,                0.93244,               0.001524,               0.001524,               0.001524
                     16,                0.74897,                0.58179,                0.95829,                0.87641,                0.90709,                0.92349,                0.75047,                0.72915,                0.59106,                0.92843,               0.001513,               0.001513,               0.001513
                     17,                0.76023,                 0.5822,                0.95778,                0.86837,                0.90748,                0.91748,                0.73408,                0.72641,                0.58702,                0.92324,               0.001502,               0.001502,               0.001502
                     18,                 0.7403,                0.56627,                0.95112,                0.86708,                0.90927,                0.90735,                0.73819,                0.70827,                0.59823,                0.92261,               0.001491,               0.001491,               0.001491
                     19,                0.71297,                0.56116,                0.95032,                0.88345,                0.91703,                0.92566,                0.76438,                0.66519,                0.59344,                0.91604,                0.00148,                0.00148,                0.00148
                     20,                0.70652,                0.55858,                0.94666,                0.89527,                0.91106,                0.93198,                0.76327,                0.68492,                0.54752,                0.92357,               0.001469,               0.001469,               0.001469
                     21,                0.70972,                0.55086,                0.94819,                0.87592,                 0.9168,                0.93008,                0.76273,                0.68735,                0.56266,                0.92205,               0.001458,               0.001458,               0.001458
                     22,                0.69603,                0.54761,                0.94159,                0.87199,                0.90195,                0.92654,                0.75872,                0.69295,                0.61129,                0.92143,               0.001447,               0.001447,               0.001447
                     23,                0.70662,                0.55317,                0.94457,                0.90183,                0.91047,                0.93665,                0.77159,                0.68995,                0.56085,                0.91329,               0.001436,               0.001436,               0.001436
                     24,                0.71735,                0.55062,                0.93878,                0.88142,                0.92358,                0.93341,                0.73722,                0.76963,                0.57255,                0.93438,               0.001425,               0.001425,               0.001425
                     25,                0.73035,                0.54745,                0.94279,                0.85858,                0.91259,                0.91626,                0.74168,                0.73758,                0.59725,                0.95571,              0.0014139,              0.0014139,              0.0014139
                     26,                0.71373,                0.55519,                0.94124,                0.87346,                  0.916,                0.91417,                0.76233,                0.67521,                 0.5846,                0.91366,              0.0014029,              0.0014029,              0.0014029
                     27,                0.68629,                0.53786,                0.93896,                0.89865,                 0.9138,                0.94021,                0.78458,                0.65272,                0.57257,                0.90872,              0.0013919,              0.0013919,              0.0013919
                     28,                0.69657,                 0.5403,                  0.936,                0.90417,                0.91839,                0.94627,                 0.7859,                0.64837,                0.53911,                0.90244,              0.0013809,              0.0013809,              0.0013809
                     29,                 0.6812,                0.53251,                0.93018,                0.88193,                0.92212,                 0.9305,                0.75902,                0.68104,                0.55046,                0.91432,              0.0013699,              0.0013699,              0.0013699
                     30,                 0.6877,                0.53535,                0.93465,                0.89657,                0.91122,                0.93275,                0.77132,                0.64567,                0.53168,                  0.904,              0.0013589,              0.0013589,              0.0013589
                     31,                0.67852,                0.52254,                0.92942,                0.90385,                0.91556,                0.93843,                  0.784,                0.64571,                0.53796,                0.90811,              0.0013479,              0.0013479,              0.0013479
                     32,                0.68525,                 0.5128,                0.92889,                0.92057,                0.91755,                0.94663,                0.77971,                0.67614,                0.51485,                0.91407,              0.0013369,              0.0013369,              0.0013369
                     33,                0.69645,                0.52389,                0.93371,                0.91283,                0.90534,                0.93916,                0.76851,                0.67585,                0.52986,                0.90423,              0.0013259,              0.0013259,              0.0013259
                     34,                0.67215,                0.52508,                0.92655,                0.88051,                0.90942,                0.92093,                0.75657,                0.69699,                0.55891,                0.90217,              0.0013149,              0.0013149,              0.0013149
                     35,                 0.6665,                 0.5262,                 0.9263,                0.89751,                0.92506,                0.94006,                0.78669,                0.63585,                0.51321,                0.89406,              0.0013039,              0.0013039,              0.0013039
                     36,                0.65494,                0.51138,                0.92357,                0.91147,                0.90638,                0.94292,                0.78653,                0.64634,                0.52248,                0.89344,              0.0012929,              0.0012929,              0.0012929
                     37,                0.65175,                0.50477,                0.91798,                0.90147,                0.92167,                0.93353,                0.78211,                0.63754,                0.50573,                0.89657,              0.0012819,              0.0012819,              0.0012819
                     38,                0.64947,                0.49967,                0.91859,                0.91353,                0.91273,                0.94639,                0.79306,                0.62386,                0.51118,                0.89306,              0.0012709,              0.0012709,              0.0012709
