                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4779,                 1.4606,                 1.3307,                0.77678,                0.80338,                0.81717,                0.57188,                 1.0006,                 1.0651,                 1.0871,             0.00055022,             0.00055022,             0.00055022
                      2,                 1.1274,                 0.9284,                 1.1246,                0.77079,                0.81079,                0.82479,                0.58617,                 0.9899,                0.86737,                 1.0991,               0.001084,               0.001084,               0.001084
                      3,                 1.0801,                0.89691,                 1.1158,                0.79691,                0.79995,                 0.8297,                0.59495,                  1.013,                 0.8422,                  1.078,              0.0015958,              0.0015958,              0.0015958
                      4,                 1.0638,                0.85626,                 1.1008,                0.76906,                0.84592,                0.82866,                0.59573,                 0.9695,                0.85542,                  1.066,               0.001568,               0.001568,               0.001568
                      5,                 1.0139,                0.84423,                 1.0915,                0.76949,                0.86853,                0.83905,                  0.625,                0.91011,                0.78624,                 1.0533,               0.001568,               0.001568,               0.001568
                      6,                0.98966,                0.79091,                 1.0743,                0.80046,                0.85746,                0.86163,                0.64742,                0.86914,                0.77038,                 1.0364,               0.001535,               0.001535,               0.001535
                      7,                0.95151,                0.75299,                 1.0539,                 0.8116,                0.86058,                0.88115,                0.67167,                0.85879,                0.73622,                 1.0279,               0.001502,               0.001502,               0.001502
                      8,                 0.9552,                0.73749,                 1.0538,                0.84665,                0.86964,                0.90257,                0.67788,                0.84053,                0.67727,                 1.0311,               0.001469,               0.001469,               0.001469
                      9,                0.92747,                0.73807,                 1.0426,                0.81172,                0.87031,                0.86672,                0.65291,                0.85727,                0.72676,                 1.0197,               0.001436,               0.001436,               0.001436
                     10,                0.91709,                0.72161,                 1.0398,                0.84898,                0.87162,                0.89973,                0.67653,                0.85026,                0.75633,                 1.0211,              0.0014029,              0.0014029,              0.0014029
                     11,                0.89125,                0.69896,                 1.0283,                0.83544,                 0.8705,                0.89633,                0.69394,                0.80168,                 0.6666,                 1.0005,              0.0013699,              0.0013699,              0.0013699
                     12,                0.91201,                0.71569,                 1.0302,                0.83973,                0.89963,                0.90825,                0.69949,                0.80209,                 0.6912,                0.99391,              0.0013369,              0.0013369,              0.0013369
                     13,                0.88624,                0.71503,                 1.0248,                0.85457,                0.88933,                0.90278,                0.70962,                0.77865,                0.65085,                0.98478,              0.0013039,              0.0013039,              0.0013039
                     14,                0.87678,                0.70325,                 1.0171,                0.85508,                0.89558,                0.90878,                 0.7102,                0.75768,                0.65932,                0.98201,              0.0012709,              0.0012709,              0.0012709
                     15,                0.87292,                0.67181,                 1.0201,                0.85812,                0.90044,                0.91192,                  0.718,                0.76581,                 0.6364,                0.98796,              0.0012379,              0.0012379,              0.0012379
                     16,                0.87068,                0.67854,                   1.01,                0.85811,                0.89068,                0.91298,                0.72366,                0.76359,                0.64583,                0.97674,              0.0012049,              0.0012049,              0.0012049
                     17,                0.84497,                0.65377,                 1.0014,                0.85014,                0.89756,                0.90988,                0.71611,                0.76071,                0.63324,                0.97465,              0.0011719,              0.0011719,              0.0011719
                     18,                0.83455,                0.65706,                0.99915,                0.85928,                0.89227,                0.91346,                0.70137,                 0.8161,                0.63539,                0.99197,              0.0011389,              0.0011389,              0.0011389
                     19,                0.82731,                0.65341,                0.99831,                0.87389,                0.89859,                 0.9211,                0.73375,                 0.7376,                0.65122,                0.97229,              0.0011059,              0.0011059,              0.0011059
                     20,                0.83322,                0.66992,                0.99931,                0.86493,                0.88028,                0.91352,                0.73047,                0.73014,                0.61519,                0.95669,              0.0010729,              0.0010729,              0.0010729
                     21,                0.82903,                0.65761,                0.99533,                0.87584,                0.90235,                0.92583,                0.74251,                0.72739,                0.62132,                 0.9676,              0.0010399,              0.0010399,              0.0010399
                     22,                0.81624,                0.65663,                0.99451,                0.87104,                0.89838,                0.92372,                0.74615,                0.70161,                0.60042,                0.95441,              0.0010069,              0.0010069,              0.0010069
                     23,                0.79932,                0.63174,                 0.9867,                 0.8566,                0.90598,                0.90709,                0.73269,                0.70645,                0.60439,                0.95346,             0.00097386,             0.00097386,             0.00097386
                     24,                0.78182,                0.60745,                0.97674,                0.87898,                  0.909,                0.92892,                0.75126,                0.70983,                0.59064,                0.95023,             0.00094085,             0.00094085,             0.00094085
                     25,                0.78421,                0.62558,                0.97976,                0.86631,                0.90671,                0.91261,                0.74041,                0.69705,                0.60172,                0.94281,             0.00090785,             0.00090785,             0.00090785
                     26,                0.76377,                0.62588,                0.97678,                0.87919,                0.88498,                0.92427,                0.75941,                0.67758,                0.57621,                0.94096,             0.00087484,             0.00087484,             0.00087484
                     27,                0.78294,                0.59016,                0.97116,                0.89307,                0.90425,                0.93621,                0.75743,                0.70102,                0.57439,                0.93961,             0.00084184,             0.00084184,             0.00084184
