                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4789,                  1.462,                 1.3304,                0.80452,                0.81879,                0.84959,                0.59806,                0.98233,                  1.174,                  1.082,             0.00055022,             0.00055022,             0.00055022
                      2,                 1.1291,                0.92874,                 1.1254,                0.77749,                0.80881,                0.83484,                0.59283,                 0.9913,                0.87661,                 1.1003,               0.001084,               0.001084,               0.001084
                      3,                 1.0721,                0.89907,                 1.1134,                0.80768,                0.80545,                0.83471,                 0.5943,                  1.003,                0.83312,                 1.0669,              0.0015958,              0.0015958,              0.0015958
                      4,                 1.0592,                0.85827,                 1.1036,                0.76532,                0.81246,                0.83094,                0.60794,                0.94447,                0.93993,                 1.0786,               0.001568,               0.001568,               0.001568
                      5,                 1.0025,                0.83961,                 1.0907,                0.76373,                0.86138,                0.83391,                0.61222,                0.93577,                0.79256,                 1.0626,               0.001568,               0.001568,               0.001568
                      6,                0.99179,                0.79351,                 1.0729,                0.80274,                0.85352,                0.86369,                0.63865,                0.90516,                0.74081,                 1.0383,               0.001535,               0.001535,               0.001535
                      7,                0.95425,                0.75017,                 1.0571,                0.83039,                0.87858,                0.88808,                0.67122,                0.87537,                0.71834,                 1.0273,               0.001502,               0.001502,               0.001502
                      8,                0.95288,                0.74121,                 1.0529,                0.86896,                0.87083,                0.91083,                0.68981,                0.83017,                0.66903,                  1.017,               0.001469,               0.001469,               0.001469
                      9,                0.93255,                0.74178,                 1.0453,                0.82413,                0.85602,                0.87592,                 0.6599,                 0.8666,                0.72916,                 1.0212,               0.001436,               0.001436,               0.001436
                     10,                0.91512,                0.72125,                 1.0401,                0.85019,                0.86678,                0.89718,                0.68269,                0.83263,                0.72543,                   1.02,              0.0014029,              0.0014029,              0.0014029
                     11,                0.89136,                  0.696,                 1.0275,                0.85096,                0.87736,                 0.9048,                0.70477,                 0.8052,                 0.6707,                 1.0102,              0.0013699,              0.0013699,              0.0013699
                     12,                0.89924,                0.70866,                 1.0284,                 0.8301,                0.87961,                0.89495,                0.69823,                0.79278,                0.67974,                 0.9944,              0.0013369,              0.0013369,              0.0013369
                     13,                0.86879,                 0.7053,                 1.0165,                0.84426,                0.88673,                0.90352,                0.70404,                 0.7887,                 0.6583,                0.99618,              0.0013039,              0.0013039,              0.0013039
                     14,                0.86777,                0.70663,                 1.0125,                0.83485,                0.89046,                0.90101,                0.70506,                0.76299,                0.68561,                 0.9869,              0.0012709,              0.0012709,              0.0012709
                     15,                0.87052,                0.67288,                 1.0184,                0.85433,                 0.8807,                0.90129,                0.70362,                0.78466,                0.62335,                0.99469,              0.0012379,              0.0012379,              0.0012379
                     16,                0.86692,                0.67022,                 1.0084,                0.85553,                0.88056,                0.90072,                0.71514,                0.75987,                 0.6531,                0.98122,              0.0012049,              0.0012049,              0.0012049
                     17,                0.83622,                0.64534,                0.99756,                0.86226,                0.89531,                0.91405,                0.72108,                0.74204,                0.61325,                0.96006,              0.0011719,              0.0011719,              0.0011719
                     18,                0.82643,                0.65132,                0.99686,                 0.8677,                0.90378,                 0.9193,                0.71583,                0.77869,                0.62809,                0.96973,              0.0011389,              0.0011389,              0.0011389
                     19,                0.81375,                0.64741,                0.99116,                0.86017,                0.89335,                0.91726,                0.74105,                0.71344,                 0.6373,                0.96298,              0.0011059,              0.0011059,              0.0011059
                     20,                0.82462,                 0.6685,                0.99403,                0.85294,                0.89823,                0.90725,                0.72327,                0.73419,                0.61872,                0.95487,              0.0010729,              0.0010729,              0.0010729
                     21,                0.82147,                0.64846,                0.99205,                0.88106,                0.90126,                0.92894,                0.74294,                0.71953,                0.61478,                0.96526,              0.0010399,              0.0010399,              0.0010399
                     22,                0.80971,                0.64807,                 0.9899,                0.86955,                0.90105,                0.92487,                0.74951,                0.69763,                 0.6056,                0.95357,              0.0010069,              0.0010069,              0.0010069
                     23,                0.79323,                0.62764,                0.98384,                0.86306,                0.89569,                0.90945,                0.73223,                0.70315,                0.60681,                0.95895,             0.00097386,             0.00097386,             0.00097386
                     24,                 0.7753,                0.60608,                0.97489,                 0.8589,                0.91764,                0.92614,                0.75028,                0.69664,                0.59303,                0.95166,             0.00094085,             0.00094085,             0.00094085
                     25,                0.78384,                0.62442,                0.97948,                0.86489,                0.90002,                0.91573,                0.74384,                0.69958,                 0.6021,                0.94343,             0.00090785,             0.00090785,             0.00090785
                     26,                0.76485,                0.62649,                0.97476,                0.87468,                0.89843,                0.92366,                0.75986,                0.67557,                0.57483,                0.93973,             0.00087484,             0.00087484,             0.00087484
                     27,                0.78193,                 0.5915,                0.97038,                 0.8797,                0.90818,                0.93053,                0.75575,                0.70016,                 0.5778,                0.94606,             0.00084184,             0.00084184,             0.00084184
                     28,                0.76471,                0.61276,                0.97222,                0.87796,                0.90539,                 0.9262,                0.75987,                0.68995,                0.59856,                0.94403,             0.00080883,             0.00080883,             0.00080883
                     29,                0.76681,                0.59762,                0.97328,                0.87062,                0.90731,                0.92572,                0.76109,                0.67275,                0.58848,                0.93067,             0.00077582,             0.00077582,             0.00077582
                     30,                0.75386,                0.58861,                 0.9634,                 0.8892,                0.90567,                0.93074,                0.77014,                0.65305,                0.57441,                0.92835,             0.00074282,             0.00074282,             0.00074282
                     31,                0.75448,                0.58815,                0.97065,                 0.8725,                0.91442,                0.92641,                0.77204,                0.65743,                0.57523,                0.93074,             0.00070981,             0.00070981,             0.00070981
                     32,                0.75012,                0.57633,                0.96524,                0.87226,                 0.9133,                0.92405,                0.76079,                0.66445,                 0.5725,                0.93834,              0.0006768,              0.0006768,              0.0006768
                     33,                0.77201,                0.60563,                0.96679,                0.87217,                0.90805,                0.92315,                0.76018,                0.66954,                0.57056,                0.93541,              0.0006438,              0.0006438,              0.0006438
                     34,                0.76743,                0.59117,                0.96871,                0.88593,                0.91205,                 0.9337,                0.77431,                 0.6456,                0.56459,                 0.9255,             0.00061079,             0.00061079,             0.00061079
                     35,                0.73376,                0.56875,                0.95412,                0.87227,                0.91236,                0.92327,                0.77029,                 0.6564,                0.56356,                0.92808,             0.00057778,             0.00057778,             0.00057778
                     36,                0.72849,                0.56369,                 0.9522,                0.87124,                0.92447,                 0.9328,                0.77893,                0.63962,                0.56233,                0.92242,             0.00054478,             0.00054478,             0.00054478
                     37,                0.72279,                0.55714,                0.95023,                0.88388,                0.91912,                0.93792,                0.78665,                0.63409,                 0.5456,                0.91942,             0.00051177,             0.00051177,             0.00051177
                     38,                 0.7106,                 0.5478,                0.94911,                0.87891,                0.91938,                0.93499,                0.77907,                0.63588,                0.56723,                0.92101,             0.00047876,             0.00047876,             0.00047876
                     39,                0.71526,                0.56408,                0.94924,                0.88664,                0.91638,                0.93619,                0.78347,                0.62981,                0.54278,                0.91656,             0.00044576,             0.00044576,             0.00044576
                     40,                0.70888,                 0.5622,                0.94687,                0.88704,                0.91985,                0.93733,                0.78461,                0.63272,                0.54047,                0.92155,             0.00041275,             0.00041275,             0.00041275
                     41,                0.73905,                0.57861,                0.96711,                0.89104,                 0.9188,                0.94032,                0.78873,                0.62662,                0.53881,                0.92219,             0.00037974,             0.00037974,             0.00037974
                     42,                 0.7297,                0.56686,                0.96369,                0.88385,                 0.9282,                0.94439,                0.79295,                0.62364,                0.53791,                0.91986,             0.00034674,             0.00034674,             0.00034674
                     43,                 0.7102,                0.55507,                0.94981,                0.87685,                0.91805,                0.93341,                0.78539,                0.62828,                0.55412,                0.91761,             0.00031373,             0.00031373,             0.00031373
                     44,                0.71397,                 0.5552,                0.95283,                 0.8924,                0.91828,                0.94201,                 0.7895,                0.62832,                0.53752,                0.91541,             0.00028072,             0.00028072,             0.00028072
                     45,                0.70017,                0.55047,                0.94624,                0.89371,                0.92026,                 0.9409,                0.79345,                0.62215,                0.52996,                0.91591,             0.00024772,             0.00024772,             0.00024772
                     46,                0.69847,                0.53364,                0.95209,                0.89534,                0.92615,                0.94466,                0.79825,                0.61327,                 0.5246,                0.91183,             0.00021471,             0.00021471,             0.00021471
                     47,                0.69334,                0.54415,                 0.9408,                0.89952,                0.92531,                0.94254,                0.79828,                0.59905,                0.52345,                0.90623,              0.0001817,              0.0001817,              0.0001817
                     48,                0.67238,                0.52479,                0.93708,                 0.9002,                0.92418,                 0.9442,                0.80014,                0.60229,                0.51706,                 0.9061,              0.0001487,              0.0001487,              0.0001487
                     49,                0.67302,                 0.5236,                0.93489,                0.90283,                0.92551,                0.94462,                0.80095,                0.60409,                0.51669,                0.90657,             0.00011569,             0.00011569,             0.00011569
                     50,                0.67892,                0.52558,                0.93404,                0.90187,                0.92225,                0.94422,                 0.8023,                0.59494,                0.51348,                0.90489,             8.2683e-05,             8.2683e-05,             8.2683e-05
