                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7077,                 1.8266,                 1.4737,                0.59482,                0.77508,                0.70841,                0.46549,                 1.1696,                 2.8831,                 1.1468,             0.00041675,             0.00041675,             0.00041675
                      2,                 1.0981,                0.91957,                 1.1075,                0.77471,                0.82879,                0.83246,                0.60091,                0.96695,                 1.3776,                 1.0772,             0.00083334,             0.00083334,             0.00083334
                      3,                 1.0305,                0.82912,                 1.0785,                0.73733,                0.86585,                0.81065,                0.56145,                 1.0631,                 1.4418,                 1.1672,              0.0012328,              0.0012328,              0.0012328
                      4,                 1.0104,                0.79832,                 1.0704,                 0.7461,                0.85308,                0.84682,                0.61538,                0.98482,                 1.3577,                 1.1017,               0.001568,               0.001568,               0.001568
                      5,                 0.9619,                0.75697,                 1.0624,                0.79535,                0.85263,                0.84411,                0.61344,                0.95655,                 1.1443,                 1.0847,               0.001568,               0.001568,               0.001568
                      6,                      1,                0.76801,                 1.0572,                0.81538,                0.86553,                 0.8648,                0.62059,                0.95751,                 1.0134,                 1.0671,               0.001535,               0.001535,               0.001535
                      7,                0.91545,                0.72134,                 1.0426,                0.81004,                0.85827,                0.87881,                0.66473,                0.88257,                0.81546,                 1.0291,               0.001502,               0.001502,               0.001502
                      8,                 0.9115,                0.71162,                 1.0322,                0.82317,                0.88489,                0.89728,                0.68415,                0.86876,                0.71594,                 1.0252,               0.001469,               0.001469,               0.001469
                      9,                0.88723,                 0.7038,                 1.0209,                0.83459,                0.86749,                0.89217,                0.69447,                0.81623,                0.68134,                0.99356,               0.001436,               0.001436,               0.001436
                     10,                0.89529,                0.69362,                 1.0199,                0.84913,                 0.8921,                0.89646,                0.67743,                0.87129,                0.73073,                 1.0446,              0.0014029,              0.0014029,              0.0014029
                     11,                0.86567,                0.67463,                 1.0079,                0.85553,                0.88502,                0.90616,                0.70468,                0.80151,                  0.691,                0.98535,              0.0013699,              0.0013699,              0.0013699
                     12,                0.84345,                0.64832,                 1.0006,                 0.8615,                0.87985,                0.91523,                 0.7242,                0.79042,                0.65357,                0.98484,              0.0013369,              0.0013369,              0.0013369
