                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6004,                 1.7063,                 1.4101,                 0.6759,                0.78608,                0.77936,                0.51747,                 1.1429,                 1.9966,                 1.0887,             0.00041675,             0.00041675,             0.00041675
                      2,                0.98951,                 0.8337,                 1.0671,                0.74632,                0.81805,                0.83338,                 0.5829,                 1.0209,                 1.3083,                 1.0959,             0.00084175,             0.00084175,             0.00084175
                      3,                0.95806,                0.75183,                 1.0557,                 0.7085,                0.85777,                0.84025,                0.58757,                0.97446,                 1.4588,                 1.0672,              0.0012582,              0.0012582,              0.0012582
                      4,                0.95109,                0.75232,                 1.0561,                0.75448,                0.84862,                 0.8399,                0.61052,                0.96647,                 1.0135,                 1.0499,              0.0016175,              0.0016175,              0.0016175
                      5,                0.92664,                0.71539,                 1.0498,                0.75264,                0.86943,                0.86329,                0.62374,                0.96541,                 1.2541,                 1.0995,              0.0016175,              0.0016175,              0.0016175
                      6,                0.93066,                0.70616,                 1.0421,                0.78994,                0.82874,                0.84478,                0.63395,                0.91057,                 1.2335,                 1.0179,               0.001601,               0.001601,               0.001601
                      7,                0.84001,                0.66312,                 1.0154,                0.83647,                0.86401,                0.89787,                0.69317,                0.81217,                0.77692,                0.98638,              0.0015845,              0.0015845,              0.0015845
                      8,                0.85929,                 0.6687,                 1.0048,                0.86953,                0.88881,                0.90735,                0.67703,                0.87084,                 0.6602,                  1.003,               0.001568,               0.001568,               0.001568
                      9,                 0.8193,                0.64471,                0.99378,                0.86674,                0.90079,                0.91074,                0.72235,                0.76474,                0.64179,                0.97781,              0.0015515,              0.0015515,              0.0015515
                     10,                0.80686,                0.64285,                0.98904,                 0.8611,                0.89866,                0.91009,                0.67908,                0.88073,                0.67555,                0.97435,               0.001535,               0.001535,               0.001535
                     11,                0.81402,                0.63099,                0.98571,                 0.8791,                0.89897,                0.92161,                0.72749,                0.76119,                0.65292,                0.97432,              0.0015185,              0.0015185,              0.0015185
                     12,                0.78886,                0.60989,                 0.9783,                0.87509,                0.91224,                0.92526,                0.74599,                 0.7367,                0.61001,                0.94861,               0.001502,               0.001502,               0.001502
