                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4789,                  1.462,                 1.3304,                0.80452,                0.81879,                0.84959,                0.59806,                0.98233,                  1.174,                  1.082,             0.00055022,             0.00055022,             0.00055022
                      2,                 1.1288,                0.92713,                 1.1246,                0.78098,                0.82159,                0.84052,                 0.5968,                0.98505,                0.87575,                  1.096,              0.0010986,              0.0010986,              0.0010986
                      3,                 1.0819,                0.90372,                 1.1172,                0.78525,                0.81263,                0.82332,                0.57639,                 1.0331,                0.83374,                 1.0846,              0.0016396,              0.0016396,              0.0016396
                      4,                 1.0665,                0.86361,                 1.1085,                0.77852,                0.79419,                0.83286,                 0.6092,                0.94254,                0.90768,                 1.0712,               0.001634,               0.001634,               0.001634
                      5,                 1.0117,                0.84942,                 1.0963,                0.75825,                0.87509,                0.83463,                 0.6164,                0.92481,                 0.8143,                 1.0608,               0.001634,               0.001634,               0.001634
                      6,                0.99056,                0.79333,                 1.0735,                0.83196,                0.85455,                0.88509,                0.66539,                0.86612,                0.75623,                 1.0365,               0.001623,               0.001623,               0.001623
                      7,                   0.95,                0.75325,                 1.0546,                0.82901,                 0.8859,                0.88199,                0.66763,                0.86184,                0.74095,                 1.0294,               0.001612,               0.001612,               0.001612
                      8,                0.95374,                0.74343,                 1.0532,                0.85383,                0.87884,                0.90276,                0.69362,                0.81713,                0.66856,                  1.018,               0.001601,               0.001601,               0.001601
                      9,                0.93038,                0.74701,                 1.0467,                0.81968,                 0.8454,                0.86771,                0.66483,                0.85225,                0.72053,                  1.021,                0.00159,                0.00159,                0.00159
                     10,                0.92519,                0.73065,                 1.0429,                0.86413,                0.87782,                0.90457,                0.67919,                0.85128,                 0.7482,                 1.0194,               0.001579,               0.001579,               0.001579
                     11,                0.91004,                0.70585,                 1.0345,                0.83947,                0.86707,                0.89268,                0.68823,                 0.8131,                0.67681,                 1.0089,               0.001568,               0.001568,               0.001568
                     12,                0.91851,                0.72057,                 1.0344,                0.84311,                0.88194,                0.89377,                0.68099,                0.80881,                0.71561,                 1.0004,               0.001557,               0.001557,               0.001557
                     13,                0.88236,                0.71329,                 1.0251,                0.84856,                0.89296,                0.89851,                0.69999,                 0.7792,                0.65478,                0.98813,               0.001546,               0.001546,               0.001546
                     14,                0.88502,                0.71186,                 1.0209,                0.84175,                0.89792,                0.90545,                0.70848,                0.76684,                0.66928,                0.99632,               0.001535,               0.001535,               0.001535
                     15,                0.87561,                 0.6783,                 1.0218,                0.84897,                0.87915,                0.89984,                  0.691,                0.81857,                0.66767,                 1.0042,               0.001524,               0.001524,               0.001524
                     16,                0.87991,                0.68292,                 1.0149,                 0.8662,                0.88309,                0.91668,                0.71377,                0.77731,                0.66172,                0.98527,               0.001513,               0.001513,               0.001513
                     17,                 0.8634,                0.65869,                 1.0113,                0.85977,                0.88619,                0.91086,                 0.7094,                0.78268,                0.62799,                0.97711,               0.001502,               0.001502,               0.001502
                     18,                0.84615,                0.66533,                 1.0065,                 0.8635,                0.91003,                0.91582,                0.71065,                0.78451,                0.63908,                0.97652,               0.001491,               0.001491,               0.001491
                     19,                0.83543,                0.66377,                 1.0011,                0.85335,                0.89313,                0.91392,                0.73103,                 0.7335,                0.66047,                 0.9637,                0.00148,                0.00148,                0.00148
                     20,                0.85089,                0.68541,                 1.0025,                0.85551,                0.88348,                0.90596,                0.71492,                0.76426,                0.64372,                0.96961,               0.001469,               0.001469,               0.001469
                     21,                0.84501,                0.67232,                 1.0029,                0.87447,                0.90005,                 0.9209,                0.72517,                0.76206,                0.65577,                0.98188,               0.001458,               0.001458,               0.001458
                     22,                0.83928,                0.66441,                 1.0001,                0.85412,                0.89612,                0.91956,                0.73208,                0.73245,                0.63329,                 0.9647,               0.001447,               0.001447,               0.001447
