                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7093,                 1.8267,                 1.4749,                0.57406,                0.79277,                0.72656,                0.47506,                 1.1798,                 3.0924,                 1.1534,             0.00041675,             0.00041675,             0.00041675
                      2,                 1.0991,                0.91911,                 1.1092,                0.76532,                0.84062,                0.84726,                0.61378,                0.94681,                  1.554,                 1.0741,             0.00083334,             0.00083334,             0.00083334
                      3,                  1.028,                0.82004,                 1.0791,                 0.7764,                0.85902,                0.83987,                0.59631,                 1.0079,                 1.1987,                 1.1564,              0.0012328,              0.0012328,              0.0012328
                      4,                 1.0194,                0.80039,                 1.0726,                0.73146,                0.85084,                0.84284,                0.60549,                 1.0203,                 1.4616,                 1.1175,               0.001568,               0.001568,               0.001568
                      5,                0.96558,                0.75552,                 1.0623,                0.80782,                0.86083,                0.86146,                0.63484,                0.94117,                0.99876,                 1.0833,               0.001568,               0.001568,               0.001568
                      6,                0.98917,                0.76546,                 1.0542,                0.80626,                0.84815,                0.86382,                0.63312,                0.94879,                0.98175,                 1.0629,               0.001535,               0.001535,               0.001535
                      7,                0.91445,                0.72131,                 1.0416,                0.80299,                0.87034,                0.88281,                0.67419,                0.87299,                0.82907,                 1.0211,               0.001502,               0.001502,               0.001502
                      8,                0.91137,                0.71282,                 1.0296,                0.83749,                0.88414,                0.90272,                0.68191,                0.86722,                0.73086,                 1.0245,               0.001469,               0.001469,               0.001469
                      9,                0.87823,                0.69923,                 1.0189,                0.84732,                0.84273,                 0.8883,                0.68818,                0.82825,                0.76037,                  1.003,               0.001436,               0.001436,               0.001436
                     10,                0.88493,                0.69451,                 1.0156,                0.83589,                  0.893,                0.89546,                0.68706,                0.84656,                0.68285,                 1.0341,              0.0014029,              0.0014029,              0.0014029
                     11,                0.86491,                0.67642,                 1.0087,                 0.8686,                 0.8854,                0.91078,                0.71104,                0.79272,                0.67669,                0.98621,              0.0013699,              0.0013699,              0.0013699
                     12,                0.84091,                 0.6471,                 1.0011,                0.85628,                0.87765,                0.90587,                0.70764,                0.81564,                0.66913,                0.99267,              0.0013369,              0.0013369,              0.0013369
                     13,                0.81239,                 0.6322,                0.98792,                0.84015,                0.90202,                0.90525,                0.71684,                 0.7938,                0.65832,                0.97407,              0.0013039,              0.0013039,              0.0013039
                     14,                0.81423,                0.63822,                  0.987,                0.87192,                0.88637,                0.91275,                0.71975,                0.78242,                0.64996,                0.97961,              0.0012709,              0.0012709,              0.0012709
                     15,                0.80905,                0.62121,                0.98972,                 0.8517,                0.89122,                0.91348,                0.72708,                0.76544,                0.62402,                0.96396,              0.0012379,              0.0012379,              0.0012379
                     16,                0.80459,                0.62484,                0.98272,                0.86397,                0.89895,                0.91706,                0.73349,                0.76802,                0.62648,                0.96064,              0.0012049,              0.0012049,              0.0012049
                     17,                0.80549,                0.62377,                 0.9796,                0.86569,                0.88958,                0.90551,                0.70168,                0.84696,                0.62189,                0.97254,              0.0011719,              0.0011719,              0.0011719
                     18,                0.79882,                 0.6076,                0.97517,                0.86257,                0.88612,                0.91097,                0.73574,                0.73812,                0.62746,                 0.9539,              0.0011389,              0.0011389,              0.0011389
                     19,                0.76838,                0.60024,                0.97592,                0.86851,                 0.9104,                0.91752,                0.73395,                0.74761,                0.61758,                  0.955,              0.0011059,              0.0011059,              0.0011059
                     20,                0.77605,                0.60223,                0.97207,                 0.8708,                0.91575,                0.92392,                0.72358,                0.78233,                0.62893,                0.97745,              0.0010729,              0.0010729,              0.0010729
                     21,                0.77654,                0.59097,                0.97359,                0.87389,                0.88162,                0.91992,                0.74269,                0.73416,                0.60689,                0.94955,              0.0010399,              0.0010399,              0.0010399
                     22,                0.74847,                0.58375,                0.96072,                0.87998,                0.88598,                0.93245,                0.75911,                0.71568,                0.60162,                0.95718,              0.0010069,              0.0010069,              0.0010069
                     23,                   0.74,                0.58166,                0.96253,                0.87926,                0.90133,                0.92397,                0.75735,                0.71203,                 0.5772,                0.94707,             0.00097386,             0.00097386,             0.00097386
                     24,                0.74983,                0.57509,                0.95681,                 0.8805,                0.89721,                0.92737,                0.75486,                0.72087,                0.61318,                0.94253,             0.00094085,             0.00094085,             0.00094085
                     25,                0.74936,                0.56629,                 0.9559,                 0.8654,                0.91659,                0.91584,                0.74514,                0.72043,                0.60484,                0.93499,             0.00090785,             0.00090785,             0.00090785
                     26,                0.74636,                 0.5782,                0.95603,                0.87579,                0.91637,                0.93141,                0.76696,                0.68407,                0.56471,                0.93379,             0.00087484,             0.00087484,             0.00087484
                     27,                0.72856,                0.55896,                0.95351,                0.88184,                0.91134,                0.93657,                0.77197,                0.68835,                0.59947,                0.93352,             0.00084184,             0.00084184,             0.00084184
                     28,                0.72897,                0.56394,                0.95192,                0.86478,                 0.9213,                0.92187,                0.76326,                0.68245,                0.56754,                0.92452,             0.00080883,             0.00080883,             0.00080883
                     29,                0.71167,                0.55916,                0.94369,                0.89078,                0.90918,                0.93214,                0.77262,                0.68098,                 0.5708,                0.93136,             0.00077582,             0.00077582,             0.00077582
                     30,                0.73318,                0.56007,                0.95369,                0.87766,                0.91603,                0.92808,                0.77156,                0.68157,                  0.558,                0.93985,             0.00074282,             0.00074282,             0.00074282
                     31,                0.72982,                0.55913,                0.95063,                0.87659,                 0.9086,                0.93162,                 0.7683,                0.67707,                0.60048,                0.92739,             0.00070981,             0.00070981,             0.00070981
                     32,                0.73563,                0.54357,                0.94747,                  0.885,                 0.9056,                0.92216,                0.76094,                0.68818,                0.56648,                0.92964,              0.0006768,              0.0006768,              0.0006768
                     33,                0.71312,                0.54035,                0.94526,                0.90129,                0.91856,                0.94186,                0.78053,                0.68624,                 0.5389,                0.92669,              0.0006438,              0.0006438,              0.0006438
                     34,                0.68942,                0.53663,                0.93961,                0.88062,                 0.9132,                0.91405,                0.76338,                0.66285,                0.56036,                0.92364,             0.00061079,             0.00061079,             0.00061079
                     35,                 0.7055,                0.53925,                0.94427,                0.88899,                 0.9142,                0.93849,                0.77707,                0.67312,                0.55219,                0.92036,             0.00057778,             0.00057778,             0.00057778
                     36,                0.68532,                0.53014,                0.93994,                0.88091,                0.91966,                0.93289,                0.78619,                0.65096,                0.55583,                0.91951,             0.00054478,             0.00054478,             0.00054478
                     37,                0.68387,                0.52152,                0.93536,                0.88549,                0.91343,                0.93584,                0.78676,                0.64887,                0.52908,                0.91468,             0.00051177,             0.00051177,             0.00051177
                     38,                0.67727,                0.51922,                 0.9343,                0.88275,                0.90787,                0.93706,                0.78989,                0.64966,                0.56073,                0.91912,             0.00047876,             0.00047876,             0.00047876
                     39,                0.66436,                0.50908,                0.92944,                0.88436,                0.92464,                0.93314,                0.78744,                0.63904,                0.53197,                0.91563,             0.00044576,             0.00044576,             0.00044576
                     40,                 0.6791,                0.51827,                0.93177,                0.89874,                0.91974,                0.94194,                0.79759,                0.62523,                0.52417,                0.90892,             0.00041275,             0.00041275,             0.00041275
                     41,                0.71219,                0.58296,                0.95443,                0.89284,                0.91843,                0.94031,                0.78948,                 0.6493,                0.53866,                0.92256,             0.00041275,             0.00041275,             0.00041275
                     42,                0.69438,                0.53545,                0.94434,                0.90761,                0.91922,                0.94632,                0.79297,                0.64843,                0.53557,                0.92315,             0.00034674,             0.00034674,             0.00034674
                     43,                0.69979,                0.53605,                 0.9437,                0.87976,                0.93129,                0.94128,                 0.7934,                0.65088,                0.53943,                0.92775,             0.00031373,             0.00031373,             0.00031373
