                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4796,                 1.4626,                 1.3316,                0.79239,                0.79743,                0.82461,                0.58383,                0.98676,                  1.094,                 1.0848,             0.00055022,             0.00055022,             0.00055022
                      2,                 1.1266,                0.92817,                 1.1259,                0.80971,                0.81447,                0.85226,                0.60733,                0.97534,                0.89535,                 1.0846,              0.0010949,              0.0010949,              0.0010949
                      3,                 1.0809,                0.90464,                 1.1153,                0.73611,                0.73996,                0.76467,                0.53925,                 1.0699,                  0.878,                 1.1042,              0.0016287,              0.0016287,              0.0016287
                      4,                  1.082,                0.86958,                 1.1162,                0.72313,                0.85974,                0.80082,                0.57458,                 0.9779,                0.90914,                 1.0848,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.0142,                0.84027,                 1.0991,                0.77633,                0.87435,                0.84497,                0.63075,                0.90513,                0.78818,                 1.0545,              0.0016175,              0.0016175,              0.0016175
                      6,                0.99171,                0.79215,                 1.0801,                0.77082,                0.87177,                0.84056,                0.63174,                0.87493,                0.75475,                 1.0484,               0.001601,               0.001601,               0.001601
                      7,                0.95716,                0.75155,                 1.0565,                0.82118,                0.87502,                0.88738,                0.67095,                0.86216,                0.71582,                 1.0302,              0.0015845,              0.0015845,              0.0015845
                      8,                0.96469,                0.74704,                 1.0592,                0.83782,                0.87626,                0.89826,                0.67745,                0.84253,                0.67253,                 1.0252,               0.001568,               0.001568,               0.001568
                      9,                0.94004,                 0.7423,                 1.0462,                0.82988,                0.86331,                0.87508,                 0.6594,                0.86007,                0.70958,                  1.031,              0.0015515,              0.0015515,              0.0015515
                     10,                0.92398,                 0.7263,                 1.0444,                0.84829,                0.86518,                0.89209,                0.66989,                0.82874,                0.76549,                 1.0248,               0.001535,               0.001535,               0.001535
