                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6011,                 1.7072,                 1.4106,                0.62766,                0.79274,                0.77416,                0.50072,                 1.1796,                 2.6639,                 1.1101,             0.00041675,             0.00041675,             0.00041675
                      2,                0.98803,                  0.838,                 1.0657,                0.74931,                0.80916,                0.81861,                 0.5607,                  1.067,                 1.1794,                 1.1119,             0.00084175,             0.00084175,             0.00084175
                      3,                0.94484,                0.74738,                 1.0524,                0.63958,                0.84243,                0.78749,                0.53587,                 1.0754,                 1.6794,                 1.1354,              0.0012582,              0.0012582,              0.0012582
                      4,                0.93492,                0.73905,                 1.0543,                0.75838,                0.86166,                 0.8531,                0.63246,                0.92198,                 1.0242,                 1.0477,              0.0016175,              0.0016175,              0.0016175
                      5,                0.91648,                0.71645,                 1.0448,                0.72919,                0.87362,                 0.8463,                0.62434,                0.93476,                 1.3933,                 1.0839,              0.0016175,              0.0016175,              0.0016175
                      6,                0.95067,                0.71796,                 1.0414,                0.79525,                0.83865,                0.85666,                0.63238,                0.93989,                 1.1041,                 1.0204,               0.001601,               0.001601,               0.001601
                      7,                0.84551,                0.66667,                 1.0131,                0.80758,                0.85457,                0.87245,                0.65601,                0.86864,                0.79786,                 1.0208,              0.0015845,              0.0015845,              0.0015845
                      8,                0.86063,                0.66379,                 1.0037,                 0.8569,                0.89104,                0.90829,                0.69782,                0.82213,                0.67318,                0.98008,               0.001568,               0.001568,               0.001568
                      9,                 0.8176,                0.64856,                0.99418,                0.83056,                0.89946,                0.89866,                0.71396,                0.76601,                0.68792,                0.96969,              0.0015515,              0.0015515,              0.0015515
                     10,                0.80602,                0.63988,                0.98838,                0.88651,                0.89159,                0.92312,                0.71664,                  0.806,                0.62502,                0.96017,               0.001535,               0.001535,               0.001535
                     11,                 0.7987,                0.62511,                0.98315,                0.88008,                0.91033,                0.91893,                0.72395,                0.74551,                0.61563,                0.96195,              0.0015185,              0.0015185,              0.0015185
                     12,                0.78402,                0.60723,                 0.9723,                0.88124,                0.89891,                0.93017,                0.72898,                0.79981,                0.63144,                0.96112,               0.001502,               0.001502,               0.001502
                     13,                0.74832,                0.58085,                0.95906,                 0.8884,                0.90237,                0.92958,                0.75441,                 0.7226,                0.60176,                0.93618,              0.0014855,              0.0014855,              0.0014855
                     14,                0.75797,                0.59089,                0.96522,                0.88752,                0.90658,                0.92917,                 0.7629,                0.69369,                0.58855,                0.94085,               0.001469,               0.001469,               0.001469
                     15,                0.76399,                0.58653,                0.97468,                0.87278,                0.91314,                0.92423,                0.74999,                0.71716,                0.58743,                0.93359,              0.0014525,              0.0014525,              0.0014525
                     16,                0.74771,                0.58036,                0.95682,                0.87536,                0.91007,                0.91942,                0.73631,                0.75152,                0.60265,                0.93048,               0.001436,               0.001436,               0.001436
                     17,                0.75168,                0.58159,                0.95427,                0.87285,                0.89502,                0.91477,                0.72887,                0.74641,                0.59124,                0.92381,              0.0014195,              0.0014195,              0.0014195
                     18,                0.72536,                0.56854,                0.94789,                0.86948,                0.91943,                 0.9201,                0.74913,                0.71054,                0.57659,                0.92002,              0.0014029,              0.0014029,              0.0014029
                     19,                0.71921,                0.56199,                0.95077,                0.88957,                0.91059,                0.92965,                0.76759,                0.67632,                0.55925,                0.91683,              0.0013864,              0.0013864,              0.0013864
                     20,                0.71217,                0.56044,                0.94457,                0.88879,                0.91035,                 0.9277,                0.76394,                0.67319,                0.57259,                0.92187,              0.0013699,              0.0013699,              0.0013699
                     21,                0.70406,                0.54862,                0.94326,                 0.8801,                 0.9173,                0.93093,                0.76264,                0.67616,                0.55639,                0.90602,              0.0013534,              0.0013534,              0.0013534
                     22,                0.68555,                0.54325,                0.93473,                0.90144,                0.89319,                0.93184,                0.75476,                0.72246,                0.56106,                0.92938,              0.0013369,              0.0013369,              0.0013369
                     23,                0.69455,                0.54221,                0.94029,                0.90416,                0.90772,                0.94023,                0.78935,                0.65281,                0.52974,                0.90221,              0.0013204,              0.0013204,              0.0013204
                     24,                0.69438,                0.53334,                 0.9342,                0.89959,                0.91745,                 0.9385,                0.77899,                0.67073,                0.54683,                0.91063,              0.0013039,              0.0013039,              0.0013039
                     25,                0.69122,                0.52926,                0.93425,                 0.8804,                 0.9109,                0.92643,                0.76942,                0.66389,                0.56125,                0.90657,              0.0012874,              0.0012874,              0.0012874
                     26,                0.69189,                0.54247,                0.93768,                0.87376,                0.90811,                0.90284,                0.74891,                0.66109,                0.56941,                0.91604,              0.0012709,              0.0012709,              0.0012709
                     27,                0.68114,                0.52605,                0.93948,                0.89904,                0.92145,                0.94228,                0.78021,                 0.6585,                0.55952,                 0.9158,              0.0012544,              0.0012544,              0.0012544
                     28,                0.69218,                0.53707,                0.93315,                0.89735,                0.92086,                0.93857,                0.78162,                0.64349,                0.53005,                0.91089,              0.0012379,              0.0012379,              0.0012379
                     29,                0.67715,                0.52917,                0.92841,                0.89609,                0.92587,                0.94168,                0.78308,                 0.6499,                0.52986,                0.90891,              0.0012214,              0.0012214,              0.0012214
                     30,                0.66665,                0.52482,                0.93004,                0.88159,                0.91408,                0.93167,                0.78108,                0.64266,                0.54053,                0.91232,              0.0012049,              0.0012049,              0.0012049
                     31,                0.66365,                0.51815,                0.92473,                0.90294,                0.91637,                0.93878,                 0.7893,                0.62594,                0.52862,                0.89715,              0.0011884,              0.0011884,              0.0011884
                     32,                0.66785,                 0.5048,                0.92215,                0.90861,                0.92307,                0.94319,                0.77116,                0.68582,                0.52318,                 0.9294,              0.0011719,              0.0011719,              0.0011719
                     33,                0.66551,                0.50465,                0.92513,                0.90776,                0.92573,                0.94637,                0.78932,                0.65324,                0.52415,                0.89699,              0.0011554,              0.0011554,              0.0011554
                     34,                0.64688,                 0.5029,                0.92068,                0.88947,                0.91783,                0.93616,                0.79567,                0.60919,                0.52677,                0.88521,              0.0011389,              0.0011389,              0.0011389
                     35,                0.65308,                0.51356,                0.92227,                0.91153,                0.92377,                0.94488,                0.79375,                0.63568,                 0.5136,                0.88538,              0.0011224,              0.0011224,              0.0011224
                     36,                0.64014,                0.50079,                0.91954,                0.91387,                0.92192,                0.94924,                0.79282,                0.63824,                0.50049,                0.89275,              0.0011059,              0.0011059,              0.0011059
                     37,                0.64632,                0.50109,                0.91464,                0.90626,                0.91972,                0.93576,                 0.7932,                0.61113,                0.51508,                0.89241,              0.0010894,              0.0010894,              0.0010894
                     38,                0.63626,                0.49236,                0.91402,                0.90846,                0.91849,                0.94725,                 0.7962,                0.62233,                0.49753,                0.88675,              0.0010729,              0.0010729,              0.0010729
                     39,                0.63171,                0.48346,                0.91333,                0.90938,                0.91754,                 0.9453,                0.79879,                0.61304,                0.49883,                0.88297,              0.0010564,              0.0010564,              0.0010564
                     40,                0.64224,                0.49471,                 0.9131,                0.87913,                0.91277,                 0.9215,                0.76871,                0.64884,                0.53797,                0.89837,              0.0010399,              0.0010399,              0.0010399
                     41,                0.64871,                0.49042,                0.91727,                0.89582,                0.93288,                0.92792,                0.78363,                0.63301,                0.50876,                0.89025,              0.0010234,              0.0010234,              0.0010234
                     42,                0.63715,                0.49924,                0.91434,                0.90187,                0.92472,                0.92548,                0.78194,                 0.6186,                0.50943,                 0.8831,              0.0010069,              0.0010069,              0.0010069
                     43,                 0.6192,                0.47879,                0.90999,                0.89007,                0.92758,                0.93712,                0.79558,                0.60327,                0.52141,                0.88825,             0.00099036,             0.00099036,             0.00099036
                     44,                0.62501,                0.47968,                0.91308,                0.90303,                0.91327,                 0.9315,                0.79043,                0.61796,                0.51837,                0.89512,             0.00097386,             0.00097386,             0.00097386
                     45,                0.61916,                0.48811,                0.90412,                0.90931,                 0.9244,                0.94461,                0.80676,                0.59698,                0.48355,                 0.8773,             0.00095736,             0.00095736,             0.00095736
                     46,                0.62095,                0.48479,                0.90595,                0.90501,                0.91648,                0.94836,                0.81202,                0.59997,                0.49307,                  0.881,             0.00094085,             0.00094085,             0.00094085
                     47,                0.62213,                 0.4714,                0.90766,                0.91598,                0.91768,                0.95339,                0.81366,                0.58984,                0.47941,                0.88223,             0.00092435,             0.00092435,             0.00092435
                     48,                 0.6191,                0.46054,                0.90922,                0.89469,                0.92729,                0.93486,                0.80376,                0.57699,                 0.4936,                 0.8778,             0.00090785,             0.00090785,             0.00090785
                     49,                0.61963,                0.47383,                 0.9113,                0.91562,                0.90881,                0.94577,                0.80668,                0.59094,                0.49717,                0.87824,             0.00089134,             0.00089134,             0.00089134
                     50,                0.62258,                0.47779,                0.90988,                  0.905,                0.91585,                0.93875,                0.79144,                0.62391,                   0.51,                0.88308,             0.00087484,             0.00087484,             0.00087484
                     51,                0.61665,                0.46092,                0.90599,                0.91368,                0.92254,                0.94415,                0.79994,                0.60698,                0.49344,                0.88445,             0.00085834,             0.00085834,             0.00085834
                     52,                0.61637,                0.46335,                 0.9088,                0.89573,                 0.9336,                0.93612,                0.80784,                0.56932,                0.48847,                 0.8768,             0.00084184,             0.00084184,             0.00084184
                     53,                 0.5902,                0.45521,                0.90312,                0.89139,                0.93152,                0.93451,                0.80344,                0.58473,                0.49312,                0.87805,             0.00082533,             0.00082533,             0.00082533
                     54,                0.60208,                0.46003,                0.90178,                 0.9059,                0.92391,                0.94751,                 0.8161,                0.57756,                0.48211,                0.87495,             0.00080883,             0.00080883,             0.00080883
                     55,                0.59736,                0.45268,                0.90414,                0.91226,                 0.9156,                0.94831,                0.81324,                 0.5934,                0.48814,                0.88155,             0.00079233,             0.00079233,             0.00079233
                     56,                0.60202,                0.45178,                0.90121,                0.91221,                 0.9144,                0.93821,                0.81057,                0.57449,                0.48323,                 0.8756,             0.00077582,             0.00077582,             0.00077582
                     57,                0.59249,                0.45151,                0.90317,                0.92411,                0.91441,                0.94682,                 0.8143,                0.57908,                0.46903,                 0.8726,             0.00075932,             0.00075932,             0.00075932
                     58,                0.59648,                 0.4499,                0.89965,                0.90476,                0.93314,                0.94343,                0.81638,                0.57375,                0.47593,                0.87703,             0.00074282,             0.00074282,             0.00074282
                     59,                0.59513,                 0.4555,                0.90212,                0.92046,                0.92088,                0.95339,                0.82141,                0.58943,                0.47367,                0.87489,             0.00072631,             0.00072631,             0.00072631
                     60,                0.60321,                0.45796,                0.89888,                0.89949,                0.93078,                0.94184,                0.81024,                0.57201,                0.48282,                0.88108,             0.00070981,             0.00070981,             0.00070981
                     61,                0.58685,                0.43867,                0.89194,                0.92207,                 0.9245,                 0.9447,                0.81886,                0.56235,                0.46756,                0.87102,             0.00069331,             0.00069331,             0.00069331
                     62,                 0.6011,                 0.4444,                0.89744,                 0.9152,                0.91968,                0.94574,                0.81625,                0.56757,                0.47637,                0.87497,              0.0006768,              0.0006768,              0.0006768
                     63,                0.58374,                0.43285,                0.89511,                0.91391,                0.91895,                0.94473,                0.82499,                0.55116,                0.47432,                0.87499,              0.0006603,              0.0006603,              0.0006603
                     64,                0.56218,                0.41393,                0.89283,                0.91745,                0.91206,                0.94365,                0.82113,                0.54945,                0.47138,                0.86928,              0.0006438,              0.0006438,              0.0006438
                     65,                0.57397,                0.42809,                0.89445,                0.91116,                0.92238,                0.94312,                0.81609,                0.56597,                 0.4729,                0.87111,             0.00062729,             0.00062729,             0.00062729
                     66,                0.57834,                 0.4286,                0.88905,                  0.906,                0.92356,                0.94555,                0.82109,                0.55646,                0.47943,                0.87149,             0.00061079,             0.00061079,             0.00061079
                     67,                0.56892,                 0.4213,                0.88912,                0.91281,                0.91624,                0.93559,                0.81372,                0.55242,                0.47338,                0.86734,             0.00059429,             0.00059429,             0.00059429
                     68,                0.56487,                0.42023,                0.89139,                0.91624,                0.93492,                0.94754,                0.82319,                0.55382,                0.46474,                0.86589,             0.00057778,             0.00057778,             0.00057778
                     69,                0.56029,                0.42167,                0.88973,                0.91239,                0.92816,                0.94639,                0.82977,                0.54354,                 0.4634,                0.86598,             0.00056128,             0.00056128,             0.00056128
                     70,                0.56876,                0.42276,                0.89193,                0.91859,                0.93085,                0.94925,                0.83013,                0.54443,                0.45289,                  0.868,             0.00054478,             0.00054478,             0.00054478
                     71,                0.57167,                0.42713,                0.89033,                0.91909,                0.91955,                0.93531,                0.81432,                0.54721,                0.47928,                0.86957,             0.00052827,             0.00052827,             0.00052827
                     72,                0.57271,                0.42159,                0.89193,                0.89337,                0.93112,                0.93209,                0.81477,                0.54817,                0.48179,                0.86483,             0.00051177,             0.00051177,             0.00051177
                     73,                0.56747,                0.41861,                0.88692,                0.90732,                0.92444,                0.93797,                0.81934,                0.54982,                0.46863,                0.86411,             0.00049527,             0.00049527,             0.00049527
                     74,                0.55898,                0.40996,                0.88817,                0.91843,                0.92408,                0.94574,                0.82807,                0.54339,                0.46051,                0.86492,             0.00047876,             0.00047876,             0.00047876
                     75,                0.56124,                0.41027,                0.88595,                 0.9234,                0.92882,                 0.9454,                0.83349,                0.53319,                0.45437,                0.86272,             0.00046226,             0.00046226,             0.00046226
                     76,                0.55522,                0.40951,                0.88881,                0.91785,                0.91677,                0.93817,                0.82188,                0.54008,                0.46402,                0.86326,             0.00044576,             0.00044576,             0.00044576
                     77,                0.54629,                0.40576,                0.88448,                0.91327,                0.92171,                0.94479,                0.83128,                0.53153,                0.46366,                 0.8603,             0.00042925,             0.00042925,             0.00042925
                     78,                 0.5445,                  0.404,                 0.8846,                0.92579,                0.91092,                0.94744,                0.83351,                0.53287,                0.47038,                0.86447,             0.00041275,             0.00041275,             0.00041275
                     79,                0.55413,                0.40197,                0.88372,                0.92806,                0.91649,                0.95069,                0.83582,                0.53107,                0.46458,                0.85986,             0.00039625,             0.00039625,             0.00039625
                     80,                0.54814,                0.40302,                0.88395,                0.91977,                0.91789,                0.94128,                0.83193,                0.52388,                0.45673,                0.85772,             0.00037974,             0.00037974,             0.00037974
                     81,                0.54151,                0.39209,                0.88137,                0.92599,                 0.9144,                0.94414,                0.83249,                0.52786,                0.46063,                 0.8573,             0.00036324,             0.00036324,             0.00036324
                     82,                0.54116,                0.40138,                0.88747,                0.91456,                0.90276,                0.93184,                0.81721,                0.53803,                0.49226,                0.86019,             0.00034674,             0.00034674,             0.00034674
                     83,                0.54368,                0.40398,                0.88231,                0.91907,                 0.9161,                0.94262,                0.83411,                0.51619,                0.46904,                0.85767,             0.00033023,             0.00033023,             0.00033023
                     84,                0.53405,                0.38787,                0.87874,                0.90117,                0.92431,                 0.9411,                0.83086,                0.52646,                0.46133,                0.85823,             0.00031373,             0.00031373,             0.00031373
                     85,                0.53113,                0.39261,                 0.8826,                0.92776,                0.91725,                0.94733,                0.83703,                0.52374,                0.45164,                0.85681,             0.00029723,             0.00029723,             0.00029723
                     86,                0.53298,                 0.3911,                0.87774,                0.91769,                0.92918,                0.94783,                0.83701,                0.52161,                0.44809,                0.85935,             0.00028072,             0.00028072,             0.00028072
                     87,                0.53533,                0.38622,                0.87967,                0.91887,                0.92258,                0.94606,                0.83871,                0.50896,                0.44667,                0.85727,             0.00026422,             0.00026422,             0.00026422
                     88,                0.53467,                0.38772,                0.88214,                0.92669,                0.91084,                0.94612,                0.83543,                0.52843,                0.45684,                0.85718,             0.00024772,             0.00024772,             0.00024772
                     89,                0.53426,                0.38756,                0.87644,                 0.9077,                0.93087,                0.94168,                0.83271,                0.53485,                0.46146,                0.85859,             0.00023121,             0.00023121,             0.00023121
                     90,                0.54163,                0.38337,                0.88018,                0.91778,                0.92938,                0.94715,                0.84369,                 0.5096,                0.44861,                0.85452,             0.00021471,             0.00021471,             0.00021471
                     91,                0.52342,                0.39549,                0.86675,                0.92395,                0.91446,                0.94224,                 0.8372,                0.51448,                0.45189,                0.86112,             0.00019821,             0.00019821,             0.00019821
                     92,                0.51284,                0.37993,                0.86314,                0.91954,                0.91841,                0.93986,                 0.8355,                0.51244,                0.45672,                0.86116,              0.0001817,              0.0001817,              0.0001817
                     93,                0.51459,                0.37929,                0.86213,                0.91524,                0.92396,                0.94131,                0.83813,                0.50942,                0.45678,                0.85573,              0.0001652,              0.0001652,              0.0001652
                     94,                0.50161,                0.36958,                0.85373,                0.91527,                0.92785,                0.93797,                0.83471,                0.51259,                0.45271,                 0.8567,              0.0001487,              0.0001487,              0.0001487
                     95,                0.50094,                0.36957,                0.85592,                0.91083,                0.92726,                0.93657,                0.83641,                0.50438,                0.45407,                 0.8571,             0.00013219,             0.00013219,             0.00013219
                     96,                0.49709,                0.36479,                0.85802,                0.92072,                0.92443,                0.94249,                0.84241,                0.50294,                0.44726,                0.85391,             0.00011569,             0.00011569,             0.00011569
