                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5473,                 1.5701,                 1.3648,                0.74139,                 0.8277,                0.80614,                0.57157,                0.99494,                 1.5841,                 1.0904,             0.00054477,             0.00054477,             0.00054477
                      2,                 1.0847,                0.91208,                 1.1065,                0.72557,                0.83028,                0.82477,                0.58912,                0.99064,                 1.3071,                 1.1097,              0.0010786,              0.0010786,              0.0010786
                      3,                 1.0473,                 0.8386,                 1.0953,                0.78503,                0.85919,                0.84055,                0.58788,                0.97451,                0.84065,                 1.0873,              0.0015905,              0.0015905,              0.0015905
                      4,                 1.0518,                0.84858,                 1.0892,                0.78893,                 0.8483,                0.87366,                0.61603,                0.99227,                0.96191,                 1.0828,               0.001568,               0.001568,               0.001568
                      5,                  1.003,                 0.7974,                 1.0736,                0.81963,                0.85401,                0.87418,                0.64778,                0.91222,                0.82972,                 1.0604,               0.001568,               0.001568,               0.001568
                      6,                0.96785,                0.75857,                 1.0601,                0.83171,                0.84926,                0.89031,                0.66423,                0.87604,                0.79928,                 1.0185,               0.001535,               0.001535,               0.001535
                      7,                0.92993,                0.73262,                 1.0399,                0.81319,                0.88344,                0.87141,                0.66758,                0.84756,                0.76099,                 1.0145,               0.001502,               0.001502,               0.001502
                      8,                0.90581,                0.73412,                 1.0262,                0.82411,                0.87025,                0.89054,                0.68814,                0.82224,                0.69891,                 1.0008,               0.001469,               0.001469,               0.001469
                      9,                0.90528,                 0.7071,                 1.0344,                0.82988,                 0.8755,                0.89151,                0.69323,                0.81724,                0.67179,                0.99382,               0.001436,               0.001436,               0.001436
                     10,                0.88652,                0.69921,                 1.0199,                 0.8301,                 0.8636,                0.89623,                0.69117,                0.81794,                0.71327,                 1.0045,              0.0014029,              0.0014029,              0.0014029
                     11,                 0.8625,                0.67912,                 1.0111,                0.85475,                0.88824,                0.91161,                0.70889,                0.80333,                0.65359,                0.99783,              0.0013699,              0.0013699,              0.0013699
                     12,                0.86614,                 0.6874,                 1.0109,                0.84502,                0.89804,                0.91263,                0.71968,                0.76785,                0.66227,                0.99005,              0.0013369,              0.0013369,              0.0013369
                     13,                0.85797,                0.66851,                 1.0046,                0.85092,                0.89991,                0.91363,                0.72892,                0.74776,                0.64474,                0.96872,              0.0013039,              0.0013039,              0.0013039
                     14,                0.82323,                0.65451,                0.99121,                0.85437,                0.89139,                0.90873,                0.70471,                0.81845,                0.64132,                0.98344,              0.0012709,              0.0012709,              0.0012709
                     15,                 0.8298,                0.64355,                0.99179,                0.86355,                0.90526,                0.91796,                0.73586,                0.73675,                0.62412,                0.96768,              0.0012379,              0.0012379,              0.0012379
                     16,                0.81507,                0.63423,                0.98764,                0.86332,                0.87596,                0.90865,                0.72159,                0.74889,                0.67437,                0.97297,              0.0012049,              0.0012049,              0.0012049
                     17,                0.81685,                0.66076,                 0.9935,                0.87761,                0.90481,                0.92286,                0.74099,                 0.7366,                0.62765,                0.97096,              0.0011719,              0.0011719,              0.0011719
                     18,                0.78165,                0.62213,                0.97688,                0.87811,                0.90042,                0.92344,                0.74351,                0.72625,                0.60495,                  0.964,              0.0011389,              0.0011389,              0.0011389
                     19,                0.79845,                0.61334,                0.98265,                 0.8763,                0.88452,                0.92112,                0.74175,                0.72487,                0.62948,                0.95744,              0.0011059,              0.0011059,              0.0011059
                     20,                0.80332,                0.63158,                0.98925,                0.86584,                 0.8967,                0.92184,                0.73822,                0.73016,                0.60691,                0.95486,              0.0010729,              0.0010729,              0.0010729
                     21,                0.78361,                0.61235,                 0.9787,                0.87185,                0.88146,                0.91357,                 0.7286,                0.73936,                0.61836,                0.95721,              0.0010399,              0.0010399,              0.0010399
